ASV	Phylum	Class	Order	Family	Genus	Species	Best_match	Label_match
ASV_1361	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5902_A_id97.9_A1my	97.9_A1my	ASV_1361_97.9_A1my
ASV_1436	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5842_A_id97.9_A2y	97.9_A2y	ASV_1436_97.9_A2y
ASV_1438	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5926_F_id85.1_F3p	84.3_F3s_F3p	ASV_1438_84.3_F3s_F3p
ASV_144	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106351|_A2w_97.4_A2s_96.6	97_A2w	ASV_144_97_A2w
ASV_1440	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	74.2_F3q	ASV_1440_74.2_F3q
ASV_147	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503420_17OKTs7-09	J_LC503420	ASV_147_J_LC503420
ASV_15	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	98.9_C3gi	ASV_15_98.9_C3gi
ASV_155	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106351|_A2w_97.4_A2s_96.6	97_A2w	ASV_155_97_A2w
ASV_158	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	A13i	ASV_158_A13i
ASV_167	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106366	94.1_A2r	ASV_167_94.1_A2r
ASV_168	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	99.6_A5ac	ASV_168_99.6_A5ac
ASV_174	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_AF184949|_A1er_A1ng_99.6	A1er	ASV_174_A1er
ASV_181	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C1w	ASV_181_C1w
ASV_184	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	A4at	ASV_184_A4at
ASV_188	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5626_A_id98.7_A3df	98.7_A3df	ASV_188_98.7_A3df
ASV_2	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	NA	D1	ASV_2_D1
ASV_20	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.1a_AM748591_F5.1a/F5u_F5.1b_99.6	F5.1a/F5u	ASV_20_F5.1a/F5u
ASV_206	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	F3_AJ291525_F3.1_F3h_99.6	F3.1	ASV_206_F3.1
ASV_215	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5758_F_id98.9_F3m	F3m	ASV_215_F3m
ASV_217	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	99.6_C39ae	ASV_217_99.6_C39ae
ASV_225	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	98.3_C66au	ASV_225_98.3_C66au
ASV_250	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	99.6_C3mc	ASV_250_99.6_C3mc
ASV_252	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	NA	73.9_M_JQ247049_D1.1	ASV_252_73.9_M_JQ247049_D1.1
ASV_254	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.2d_AJ291530|_F5.2d/F5ae_F5ak_99.6	F5.2d/F5ae	ASV_254_F5.2d/F5ae
ASV_26	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5588_F_id95.9_F3.2	96.3_F3o	ASV_26_96.3_F3o
ASV_275	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.2c_AM748596_F5a_F5.2c	99.6_F5.2c	ASV_275_99.6_F5.2c
ASV_279	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	98.9_C1pe_C1gc	ASV_279_98.9_C1pe_C1gc
ASV_287	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	98.9_C42au	ASV_287_98.9_C42au
ASV_295	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Halluxium	H5_AM748609_H5_H5a_99.6	99.6_H5	ASV_295_99.6_H5
ASV_3	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C15	ASV_3_C15
ASV_340	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5892_F_id87.7_F3.2	87.7_F3.2	ASV_340_87.7_F3.2
ASV_354	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	77.6_A2t	ASV_354_77.6_A2t
ASV_359	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	C22z	C22z	ASV_359_C22z
ASV_360	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	NA	84.7_M_D1.2	ASV_360_84.7_M_D1.2
ASV_384	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	85.5_F3.1_F3d_F3i	ASV_384_85.5_F3.1_F3d_F3i
ASV_396	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5593_A_id98.7_A5ac	98.7_A5ac	ASV_396_98.7_A5ac
ASV_4	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	F5.1_AF333516_F5.1_F5c	F5.1_F5c	ASV_4_F5.1_F5c
ASV_407	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106366	93.4_A2r	ASV_407_93.4_A2r
