ASV	Algae1-1a1	Algae1-1a2	Algae1-2a1	Algae1-2a2	Algae1-5a1	Algae1-5a2	Algae1-6a1	Algae1-6a2	Algae2-2a5	Algae2-2a6	Algae2-5a3	Algae2-5a4	Algae2-6a3	Algae2-6a4	Algae2-7a3	Algae2-7a4	Stichodactyla1-1	Stichodactyla1-2	Porites1-12	Goniastrea1-14	Goniastrea1-1	Montipora1-2	Goniastrea1-3	Goniastrea1-5	Porites1-6	Goniastrea1-9	Goniastrea2-14	Goniastrea2-16	Goniastrea2-18	Goniastrea2-19	Porites2-1	Goniastrea2-2	Porites2-3	Montipora2-6	Porites2-7	Porites2-9	Amphisorus1-10	Sorites1-12	Sorites1-13	Sorites1-14	Amphisorus1-2	Amphisorus1-3	Amphisorus1-4	Amphisorus1-5	Amphisorus1-7	Sorites1-9	Amphisorus2-1	Sorites2-21	Sorites2-22	Sorites2-29	Amphisorus2-2	Amphisorus2-30	Amphisorus2-31	Amphisorus2-3	Amphisorus2-4	Amphisorus2-5	Amphisorus2-6	Sediment1-5a1	Sediment1-5a2	Sediment1-6a1	Sediment1-6a2	Sediment1-7a1	Sediment1-7a2	Sediment1-8a3	Sediment1-8a4	Sediment2-4a3	Sediment2-4a4	Sediment2-5a1	Sediment2-5a2	Sediment2-6a1	Sediment2-6a2	Sediment2-9a1	Sediment2-9a2	Water1-1	Water1-2	Water1-3	Water1-4	Water2-5	Water2-6	Water2-7	Water2-8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_11	0	0	125	0	392	409	638	1826	0	0	253	459	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9151	5653	0	0	7239	0	6671	0	0	0	0	0	0	10070	0	0	12887	0	0	0	0	52	0	0	0	0	0	0	0	0	0	457	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	40	46	90	29	237	237	3041	5794	0	0	1962	432	922	934	213	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2550	1773	27	0	0	0	468	307	0	0	0	0	147	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
ASV_13	0	0	3586	3627	476	401	0	0	377	0	0	0	739	604	0	0	0	0	0	0	0	0	3773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4186	258	2818	0	6496	0	0	825	832	0	0	0	0	0	0	0	0	95	298	0	0	0	0	0	0	0	0	0	0	100	52	2828	914	1435	2213	2094	331	286	0	2922
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7882	5710	3789	5223	11687	0	7496	186
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18963	22153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	288	271	128	66	232	249	61	295	0	0	300	167	762	182	819	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2298	0	4951	208	0	0	0	334	4524	397	3760	8866	3184	27	0	0	138	0	23	56	84	0	572	681	190	188	0	0	0	0	0	0	0	138	484	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	788	658	382	0	568	428	520	462	5604	7120	1453	843	697	353	414	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	807	0	0	0	0	0	1365	0	700	958	4500	0	0	0	0	0	0	0	0	0	0	0	235	0	0	189	235	0	634	875	601	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	681	369	680	905	1381	1512	463	529	0	0	1361	1087	1131	802	1366	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	321	660	1196	1328	945	881	873	1150	1176	1122	968	357	1358	1355	1628	1687	0	0	0	0	237	445	514	380	0	0	0	0	0	0	0	0	0
ASV_19	1002	576	809	890	1109	1376	340	417	0	0	1066	988	777	679	1279	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	655	546	1221	1409	903	785	932	1113	1262	1049	892	678	1310	1289	1848	1686	0	0	0	0	363	137	430	318	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	389	0	0	0	0	0	0	210	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
